time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-03-29 00:00:00+00:00,1,1,2,1
2021-04-02 00:00:00+00:00,0,0,1,1
2021-04-03 00:00:00+00:00,0,0,2,1
2021-04-05 00:00:00+00:00,1,1,0,0
2021-04-07 00:00:00+00:00,0,0,1,1
2021-04-09 00:00:00+00:00,0,0,2,2
2021-04-11 00:00:00+00:00,0,0,2,1
2021-04-12 00:00:00+00:00,0,0,6,1
2021-04-13 00:00:00+00:00,0,0,6,2
2021-04-14 00:00:00+00:00,0,0,2,2
2021-04-18 00:00:00+00:00,0,0,8,1
2021-04-19 00:00:00+00:00,0,0,1,1
2021-04-20 00:00:00+00:00,0,0,1,1
2021-04-23 00:00:00+00:00,0,0,1,1
2021-04-25 00:00:00+00:00,0,0,2,1
2021-04-26 00:00:00+00:00,0,0,2,2
2021-04-28 00:00:00+00:00,0,0,1,1
2021-04-29 00:00:00+00:00,0,0,15,3
2021-04-30 00:00:00+00:00,0,0,1,1
2021-05-04 00:00:00+00:00,0,0,2,2
2021-05-06 00:00:00+00:00,0,0,2,1
2021-05-07 00:00:00+00:00,0,0,1,1
2021-05-11 00:00:00+00:00,0,0,2,1
2021-05-13 00:00:00+00:00,0,0,5,1
2021-05-14 00:00:00+00:00,0,0,1,1
2021-05-19 00:00:00+00:00,1,1,10,3
2021-05-21 00:00:00+00:00,0,0,4,1
2021-05-22 00:00:00+00:00,0,0,8,2
2021-05-25 00:00:00+00:00,0,0,2,2
2021-05-26 00:00:00+00:00,1,1,1,1
2021-06-04 00:00:00+00:00,14,6,5,2
2021-06-06 00:00:00+00:00,0,0,3,1
2021-06-08 00:00:00+00:00,0,0,2,1
2021-06-09 00:00:00+00:00,0,0,10,2
2021-06-11 00:00:00+00:00,0,0,1,1
2021-06-14 00:00:00+00:00,0,0,2,2
2021-06-15 00:00:00+00:00,0,0,9,1
2021-06-17 00:00:00+00:00,0,0,3,2
2021-06-18 00:00:00+00:00,1,1,12,1
2021-06-20 00:00:00+00:00,1,1,0,0
2021-07-06 00:00:00+00:00,0,0,1,1
2021-07-08 00:00:00+00:00,0,0,1,1
2021-07-14 00:00:00+00:00,1,1,1,1
2021-07-15 00:00:00+00:00,0,0,3,1
2021-07-22 00:00:00+00:00,0,0,1,1
2021-07-23 00:00:00+00:00,1,1,19,1
2021-07-26 00:00:00+00:00,0,0,1,1
