time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-06-01 00:00:00+00:00,0,0,13,2
2021-06-02 00:00:00+00:00,1,1,2,1
2021-06-03 00:00:00+00:00,0,0,1,1
2021-06-04 00:00:00+00:00,0,0,1,1
2021-06-07 00:00:00+00:00,0,0,1,1
2021-06-09 00:00:00+00:00,0,0,7,2
2021-06-14 00:00:00+00:00,0,0,11,2
2021-06-15 00:00:00+00:00,0,0,1,1
2021-06-16 00:00:00+00:00,0,0,1,1
2021-06-17 00:00:00+00:00,0,0,11,1
2021-06-18 00:00:00+00:00,0,0,2,1
2021-06-21 00:00:00+00:00,0,0,1,1
2021-06-22 00:00:00+00:00,0,0,2,2
2021-06-23 00:00:00+00:00,0,0,1,1
2021-06-29 00:00:00+00:00,0,0,2,2
