time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-04-11 00:00:00+00:00,0,0,1,1
2021-05-04 00:00:00+00:00,1,1,0,0
2021-06-03 00:00:00+00:00,1,1,0,0
2021-07-18 00:00:00+00:00,1,1,0,0
2021-10-20 00:00:00+00:00,2,1,0,0
2021-10-22 00:00:00+00:00,9,2,0,0
2022-01-07 00:00:00+00:00,1,1,0,0
2022-01-24 00:00:00+00:00,1,1,0,0
2022-03-07 00:00:00+00:00,1,1,0,0
2022-03-23 00:00:00+00:00,1,1,0,0
2022-03-28 00:00:00+00:00,1,1,0,0
2022-04-03 00:00:00+00:00,2,1,0,0
2022-04-05 00:00:00+00:00,0,0,2,1
2022-05-18 00:00:00+00:00,0,0,1,1
2022-05-27 00:00:00+00:00,1,1,0,0
