time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-04-08 00:00:00+00:00,0,0,20,1
2021-04-11 00:00:00+00:00,0,0,1,1
2021-04-18 00:00:00+00:00,0,0,2,1
2021-04-29 00:00:00+00:00,0,0,1,1
2021-05-27 00:00:00+00:00,1,1,1,1
2021-06-12 00:00:00+00:00,1,1,0,0
2021-06-18 00:00:00+00:00,1,1,0,0
2021-06-20 00:00:00+00:00,1,1,0,0
2021-08-24 00:00:00+00:00,1,1,0,0
2021-09-10 00:00:00+00:00,1,1,0,0
2021-09-14 00:00:00+00:00,0,0,3,1
2021-09-17 00:00:00+00:00,1,1,0,0
2021-10-20 00:00:00+00:00,4,1,0,0
2021-10-22 00:00:00+00:00,7,2,0,0
2021-11-05 00:00:00+00:00,0,0,4,4
2021-12-11 00:00:00+00:00,1,1,0,0
2021-12-17 00:00:00+00:00,1,1,0,0
2021-12-22 00:00:00+00:00,1,1,3,1
2021-12-30 00:00:00+00:00,1,1,15,1
2022-01-03 00:00:00+00:00,0,0,4,1
2022-01-09 00:00:00+00:00,1,1,0,0
2022-01-14 00:00:00+00:00,2,1,0,0
2022-01-22 00:00:00+00:00,1,1,1,1
2022-01-24 00:00:00+00:00,1,1,0,0
2022-02-17 00:00:00+00:00,1,1,0,0
2022-02-26 00:00:00+00:00,1,1,0,0
2022-03-15 00:00:00+00:00,1,1,0,0
2022-04-04 00:00:00+00:00,1,1,0,0
2022-04-11 00:00:00+00:00,3,2,0,0
2022-04-23 00:00:00+00:00,2,1,0,0
2022-05-21 00:00:00+00:00,1,1,0,0
2022-06-22 00:00:00+00:00,2,2,0,0
2022-07-08 00:00:00+00:00,1,1,0,0
2022-08-10 00:00:00+00:00,1,1,0,0
2022-09-05 00:00:00+00:00,1,1,0,0
2022-09-29 00:00:00+00:00,1,1,0,0
2022-10-02 00:00:00+00:00,0,0,2,2
2022-10-20 00:00:00+00:00,1,1,0,0
2022-10-22 00:00:00+00:00,1,1,0,0
2022-10-25 00:00:00+00:00,1,1,0,0
2022-11-03 00:00:00+00:00,1,1,0,0
2022-11-04 00:00:00+00:00,1,1,0,0
2022-11-08 00:00:00+00:00,1,1,0,0
2022-11-09 00:00:00+00:00,1,1,0,0
2022-11-14 00:00:00+00:00,1,1,0,0
2022-11-18 00:00:00+00:00,2,2,0,0
2022-12-07 00:00:00+00:00,2,1,0,0
