time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-04-11 00:00:00+00:00,0,0,1,1
2021-07-30 00:00:00+00:00,1,1,0,0
2021-08-18 00:00:00+00:00,1,1,1,1
2021-08-19 00:00:00+00:00,1,1,0,0
2021-08-31 00:00:00+00:00,1,1,16,1
2021-09-17 00:00:00+00:00,1,1,0,0
2021-10-21 00:00:00+00:00,5,1,0,0
2021-10-31 00:00:00+00:00,0,0,3,1
2021-12-11 00:00:00+00:00,1,1,0,0
2022-01-24 00:00:00+00:00,1,1,0,0
2022-03-27 00:00:00+00:00,2,1,0,0
2022-04-16 00:00:00+00:00,0,0,4,1
2022-04-20 00:00:00+00:00,2,1,0,0
2022-04-23 00:00:00+00:00,2,1,0,0
2022-05-26 00:00:00+00:00,1,1,0,0
2022-06-09 00:00:00+00:00,2,1,0,0
2022-07-20 00:00:00+00:00,0,0,37,1
2022-07-25 00:00:00+00:00,0,0,1,1
2022-07-27 00:00:00+00:00,0,0,5,1
2022-08-08 00:00:00+00:00,1,1,0,0
2022-08-13 00:00:00+00:00,1,1,0,0
2022-08-26 00:00:00+00:00,1,1,0,0
2022-09-06 00:00:00+00:00,0,0,2,1
2022-09-27 00:00:00+00:00,1,1,0,0
2022-10-17 00:00:00+00:00,2,1,0,0
2022-10-22 00:00:00+00:00,1,1,0,0
2022-11-05 00:00:00+00:00,0,0,1,1
2022-11-17 00:00:00+00:00,1,1,0,0
2022-12-07 00:00:00+00:00,2,1,0,0
