time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-04-07 00:00:00+00:00,0,0,1,1
2021-04-11 00:00:00+00:00,0,0,1,1
2021-05-12 00:00:00+00:00,1,1,0,0
2021-05-18 00:00:00+00:00,1,1,0,0
2021-07-17 00:00:00+00:00,1,1,0,0
2021-09-03 00:00:00+00:00,1,1,0,0
2021-09-29 00:00:00+00:00,1,1,0,0
2021-10-21 00:00:00+00:00,2,1,0,0
2021-11-19 00:00:00+00:00,1,1,0,0
2022-01-24 00:00:00+00:00,1,1,0,0
2022-03-08 00:00:00+00:00,1,1,0,0
2022-03-22 00:00:00+00:00,2,1,0,0
2022-04-06 00:00:00+00:00,0,0,1,1
2022-05-23 00:00:00+00:00,1,1,0,0
2022-05-29 00:00:00+00:00,2,1,0,0
