time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-04-11 00:00:00+00:00,0,0,1,1
2021-04-17 00:00:00+00:00,0,0,1,1
2021-05-12 00:00:00+00:00,1,1,0,0
2021-06-09 00:00:00+00:00,1,1,0,0
2021-06-22 00:00:00+00:00,1,1,0,0
2021-07-29 00:00:00+00:00,2,2,0,0
2021-08-08 00:00:00+00:00,1,1,0,0
2021-08-23 00:00:00+00:00,1,1,0,0
2021-09-05 00:00:00+00:00,1,1,0,0
2021-09-17 00:00:00+00:00,1,1,0,0
2021-10-02 00:00:00+00:00,1,1,0,0
2021-10-09 00:00:00+00:00,1,1,0,0
2021-10-11 00:00:00+00:00,1,1,0,0
2021-10-21 00:00:00+00:00,8,2,0,0
2021-11-08 00:00:00+00:00,0,0,3,1
2021-11-18 00:00:00+00:00,0,0,1,1
2021-11-25 00:00:00+00:00,0,0,1,1
2021-11-28 00:00:00+00:00,1,1,0,0
2021-12-11 00:00:00+00:00,1,1,0,0
2022-01-24 00:00:00+00:00,3,2,0,0
2022-01-28 00:00:00+00:00,1,1,0,0
2022-02-14 00:00:00+00:00,1,1,0,0
2022-02-25 00:00:00+00:00,1,1,0,0
2022-03-07 00:00:00+00:00,1,1,0,0
2022-04-05 00:00:00+00:00,1,1,0,0
2022-05-04 00:00:00+00:00,2,1,0,0
2022-05-18 00:00:00+00:00,2,1,0,0
2022-05-20 00:00:00+00:00,0,0,3,1
2022-05-30 00:00:00+00:00,1,1,0,0
